구분,음식명,영문,음식설명
양념,된장,Soybean Paste,A fermented soybean paste that is the base for many common Korean dishes.
"국,탕",된장국,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.
찌개,된장찌개,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.
볶음,두루치기,Spicy Sliced Beef Stew,"A stew made of beef, liver and tripe thinly sliced, seasoned, and cooked in broth with vegetables. A specialty of the southwestern regions of Korea."
채소류,두릅,Dureup,Shoots or young leaves of the fatsia (Japanese angelica) tree.
나물,두릅나물,Dureup Namul,"Blanched dureup shoots mixed with green onions, crushed garlic, soysauce, red chili pepper paste, vinegar and sesame oil."
"전,적",두릅산적,Dureup and Beef Brochette,"Blanched dureup shoots and beef slices mixed in a seasoned soy sauce and put on skewers. The brochettes are coated in flour, dipped in egg, and pan-fried."
"전,적",두릅전,Pan-fried Dureup,"Blanched dureup shoots coated in flour, dipped in egg, and pan-fried."
회,두릅회,Parboiled Dureup,"Dureup shoots coated in potato starch and parboiled. Before serving, the cooked shoots are dipped in vinegared red chili pepper paste."
두부,두부,Dubu (Soybean Curd / Tofu),
"전,적",두부부침,Pan-fried Dubu,Dubu (soybean curd / tofu) sliced into flat pieces and pan-fried.
선,두부선,Fancy Steamed Dubu,"Mashed dubu (soybean curd / tofu) mixed with seasoned meat and topped with shiitake and other mushrooms, julienned egg garnish, red chili threads and sliced green onions. This thickened dubu is steamed."
전골,두부전골,Stuffed Dubu Hot Pot,"Two slices of pan-fried dubu (soybean curd / tofu) stuffed with seasoned minced beef and tied with minari (Korean parsley) stems or green onions and cooked in a hot pot with vegetables, meatballs, marinated beef, and broth."
찌개,두부젓국찌개,Dubu Stew with Pickled Shrimp,A stew made of simmered dubu (soybean curd / tofu) and fresh oysters seasoned with pickled shrimp sauce. Also called dubu-saeujeot-jjigae (dubu and pickled shrimp stew).
조림,두부조림,Braised Pan-fried Dubu,A dish of pan-fried slices of dubu (soybean curd / tofu) covered with soy sauce and braised until the sauce is absorbed by the dubu.
찌개,두부찌개,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.
떡,두텁떡,Sweet Rice Cake with Fillings,Sticky rice cake filled with citron and pine nuts and then flattened into layers. Each layer is generously topped with a red bean mixture and steamed.
양념,들기름,Wild Sesame Oil,Oil extracted from wild sesame seeds.
곡류,들깨,Wild Sesame,
한과,들깨엿강정,Wild Sesame Toffee,Malt candy made with roasted wild sesame seeds.
죽,들깨죽,Wild Sesame and Rice Porridge,A rice porridge with ground wild sesame seeds.
구이,등심구이,Grilled Sirloin,A medium-thick sirloin steak that is usually grilled at the table.
밥,따로국밥,Beef Soup and Rice,"A popular dish in Korean restaurants consisting of beef and clotted blood soup served with rice. Ttaro-gukbap literally means soup and rice separately and originates in a rice soup once sold by street vendors. Following customer demand, however, the rice started to be served separately."
과일류,딸기,Strawberry,
견과류,땅콩,Peanut,
떡,떡,Rice Cake,"Rice cakes made with flour from white rice, glutinous rice, beans, and peas. They are either steamed then boiled, or steamed, then kneaded or pan-fried. Tteok is served at important feasts and celebrations and is also enjoyed as a dessert or snack."
구이,떡갈비,Grilled Short Rib Meat Patties,"Square patties made of ground beef rib meat mixed with a seasoning of soy sauce, sugar, green onions, garlic, sesame seeds, and sesame oil, and then grilled."
"국,탕",떡국,Sliced Rice Pasta Soup,A soup of sliced ovals of rice pasta in a clear beef broth topped with slices of beef and julienned egg garnish. Served as a New Year's dish.
구이,떡꼬치구이,Brochette of Rice Pasta with Vegetables,A grilled brochette of rice pasta and vegetables.
 떡국,떡만둣국,Sliced Rice Pasta Soup with Dumplings,A soup of sliced ovals of rice pasta in a clear beef broth with dumplings.
볶음,떡볶이,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular."
"전,적",떡산적,Beef and Rice Cake Brochette,Brochette of beef and rice cake seasoned and then grilled.
숙채,머위나물,Butterbur Stem Namul ,Blanched stems of the butterbur (sweet colt's foot) sauteed and seasoned.
구이,먹장어구이,Grilled Eel ,Fresh sea eel grilled over an open fire and seasoned with red chili pepper paste or simply salted to taste.
회,먹장어회,Raw Eel ,"Skinned fresh sea eel thinly sliced and served raw with vinegared red chili pepper paste, sliced green chili peppers, and sliced garlic on the side."
패류,멍게,Sea Squirt ,Sea squirt has red leathery skin but the inside flesh is yellow and soft. The yellow flesh is a delicacy and is served raw with a spicy dipping sauce of vinegared red chili pepper paste.
"국,탕",메기매운탕,Spicy Catfish Stew ,"A thick, spicy stew of freshwater catfish and vegetables."
곡류,메밀,Buckwheat ,Buckwheat seeds are ground into a fine flour which is used to make noodles or a firm buckwheat jelly.
면,메밀국수,Buckwheat Noodles ,Cooked buckwheat noodles chilled and served with a dipping sauce made of dried fish and seaweed.
생채,메밀묵,Buckwheat Jelly ,"A firm jelly made of buckwheat that is sliced, topped with a seasoning sauce and shredded dried laver, and mixed with chopped kimchi."
두류,메주,Fermented Soybean Bricks ,Fermented soybeans that are dried into bricks. This is the main ingredient for soy sauce and soybean paste (doenjang).
어류,멸치,Dried Anchovies ,"Anchovies are sun-dried and prepared differently according to their size. The large anchovies are used to make broth; the mid-sized ones are braised in soy sauce, and the smallest ones are pan-fried. Fresh anchovies are also pickled in salt."
볶음,멸치볶음,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.
어류,명란,Pollack Roe ,
젓갈,명란젓,Pickled Pollack Roe,Pollack roe pickled in salt and red chili pepper powder and served as a side dish with rice.
찜,명란찜,Steamed Spicy Pollack Roe ,"Pollack roe steamed with red chili pepper powder, green onions, garlic, sesame oil, and ground sesame seeds."
어류,명태,Pollack ,Pollack caught and frozen in the winter is called dongtae; completely dried pollack is called bugeo; pollack which is frozen and then dried is called hwangtae; and half-dried pollack is called kodari.
과일류,모과,Chinese Quince ,This fruit has a beautiful fragrance but is very hard and cannot be eaten fresh. Chinese quince are usually diced and mixed in honey or sugar. This mixture can be added to hot water to make a sweet fruit tea and is also used in fruit punch drinks.
음청류,모과차,Chinese Quince Tea ,A sweet tea made of thin slices of Chinese quince that have been preserved in honey.
"전,적",모둠전,Assorted Pan-fried Delicacies,"A dish of assorted pan-fried delicacies such as beef, fish fillet, mushrooms and summer squash slices that have been coated in flour and egg, and pan-fried."
회,모둠회,Assorted Raw Fish ,"Various kinds of fresh fish sliced and served raw with soy sauce or vinegared red chili pepper paste for dipping. Generally, halibut, croaker, tuna, octopus, and sea bream are served in this dish."
채소류,무,White Radish ,"An important ingredient in kimchi, white radish is also braised and used in soups."
숙채,무나물,White Radish Namul ,"Julienned white radish mixed with green onions, garlic, ginger juice and salt and left to sit."
생채,무말랭이무침,Seasoned Dried Radish ,A side dish of julienned white radish that has been dried in the open air (a process that preserves vegetables over the winter) then briefly soaked in water and seasoned.
장아찌,무말랭이장아찌,Dried Radish Pickles,Dried white radish slices pickled in soy sauce and mixed with other seasonings. Dried chili pepper leaves that have been soaked in water are often added as well.
생채,무생채,Julienned Radish Salad,"A salad of julienned white radish dressed with a mixture of red chili pepper powder, vinegar, salt, and sugar. Also called muchae-muchim."
떡,무지개떡,Rainbow Rice Cake,"Rice cake with different colored layers made of rice flour, salt, sugar, and coloring."
김치,무청김치,Radish Stem Kimchi ,A kimchi made of the green part of radish stems and leaves.
곡류/견과류,묵,Jelly ,"A firm jelly made of acorn, mung bean, or buckwheat starch boiled in water and cooled until it sets."
증류주,문배주,Munbaeju ,"A traditional liquor made of malted wheat, rice, and millet which originates in the Pyeongyang region of North Korea. lt is famous for its fragrance which is said to resemble the munbae rose, hence its name. The alcohol content is around 40%."
연체류,문어,Octopus ,
회,메밀묵,Parboiled Octopus,"Octopus is parboiled, then sliced and served with a dipping sauce of vinegared red chili pepper paste."
김치,물김치,Water Kimchi ,"A variation of kimchi in water. Both the water and the crunchy pickled vegetable in it are eaten. This kind of kimchi includes sliced radish and cabbage kimchi (nabak-kimchi), kimchi made with whole baby white radishes and their stalks (yeolmu-kimchi), deodeok root kimchi (deodeok-mul-kimchi ), and ginseng, radish and cabbage kimchi (ginseng-nabak-kimchi)."
면,물냉면,Buckwheat Noodles in Chilled Broth ,A soup with buckwheat noodles and various toppings served in a chilled broth. The version with a spicy sauce instead of the soup is called bibim­naengmyeon.
만두,물만두,Boiled Dumplings ,Dumplings cooked in water or broth and served with soup.
양념,물엿,Maltose Syrup ,"A syrup made of malt and rice or other cereals. This thick, sweet syrup is used in many dishes."
"국,탕",뭇국,Radish and Beef Soup ,A soup made of white radish and seasoned beef.
채소류,미나리,Minari ,A leafy green resembling parsley and a member of the dropwort family.
회,미나리강회,Minari Bundles with Meat ,"Blanched minari (Korean parsley) wrapped around cooked meat, julienned egg garnish, and red chili pepper and served with a dipping sauce of vinegared red chili pepper paste."
숙채,미나리무침,Blanched and Seasoned Minari ,Blanched minari (Korean parsley) mixed with a spicy sauce.
찜,미더덕찜,Cooked Mideodeok,Mideodeok (a small oval sea animal with wrinkly skin and soft orange flesh similar ta a sea squirt) mixed with bean sprouts and minari (Korean parsley) and braised in a small amount of broth with rice flour and red chili pepper powder.
생채,미삼무침,Seasoned Young Ginseng ,"Thin, young ginseng roots seasoned with a spicy soy sauce or vinegared red chili pepper paste."
음청류,미숫가루,Grain Powder Drink Mix ,"A powder made from steamed rice that has been dried, toasted, and ground. lt is mixed with cold water and sugar or honey to make a popular summer drink."
해조류,미역,Seaweed ,
"국,탕",미역국,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth."
"국,탕",미역냉국,Chilled Seaweed Soup ,A seaweed soup served chilled. The seaweed is cooked first then mixed with soy sauce. Julienned cucumbers are added to the chilled soup.
생채,미역무침,Spicy Seaweed ,Blanched fresh seaweed seasoned with soy sauce and vinegar or vinegared red chili pepper paste.
쌈,미역쌈,Seaweed Wraps ,Blanched fresh seaweed cut into strips which are used to wrap spoonfuls of rice and other foods.
회,미역초회,Seaweed and Cucumber Salad,Blanched fresh seaweed and sliced cucumbers mixed with a sweet vinegar dressing.
죽,미음,Rice Gruel ,"A thin, clear gruel made of one part rice and ten parts water. This is mostly given to patients because it is easy to drink."
어류,민어,Croaker ,
구이,민어구이,Grilled Croaker ,Salted and grilled croaker.
"국,탕",민어매운탕,Spicy Croaker Stew ,"A spicy red stew with croaker, beef, summer squash, minari (Korean parsley), other vegetables, and garlic."
마른찬,민어포,Dried Croaker Fillets ,"Fully dried croaker fillets seasoned with soy sauce, salt and sugar, then thinly sliced before eating."
쌈,밀쌈,Mini Crepes ,A dish consisting of small crepes and thinly sliced vegetables and meat. The crepes are made of a flour and egg batter that is pan-fried over low heat. The crepes are then rolled with the sliced vegetables and meat inside.
마른찬,밑반찬,Assorted Side Dishes ,"Side dishes such as cucumber pickles, beans or beef braised in soy sauce are made in large batches and served over a period of time. Most Korean households have an assortment of these dishes at any given time to provide a tasty accompaniment to rice."
숙채,박오가리나물,Gourd Peel Namul ,"A side dish made of dried gourd skins that are soaked, seasoned, and cooked over low heat until the flavor is fully absorbed."
기타,반찬,Side Dishes ,"A range of dishes eaten with rice to add flavor. The basic Korean meal consists of a bowl of rice, a soup or stew and some side dishes. Also called chan."
견과류,밤,Chestnut(s) ,"The chestnut is used in diverse ways in Korean cuisine. Chestnuts are peeled and eaten raw as a companion for alcoholic drinks and put into cold dishes and even kimchi. They are also added to rice and braised beef rib dishes, are an important ingredient in many types of rice cake, and are served roasted, steamed, marinated in honey or made into cookies as a snack or dessert."
떡,밤단자,Sweet Rice Balls Coated with Chestnuts ,Small rice cake balls made of glutinous rice. The balls are dipped in honey and rolled in ground chestnut.
한과,밤초,Candied Chestnuts ,Peeled chestnuts simmered in water with sugar or honey until candied.
밥,밥,Cooked Rice ,"Rice that has been washed, brought to a boil and simmered until cooked. ln Korean, the expression 'eating rice' means to have a meal. Rice is unquestionably the essence of a Korean meal. There are several varieties of cooked rice: white (non-glutinous) rice, sweet (glutinous) rice, and rice mixed with other grains."
과일류,배,Korean Pear ,"One of the most popular fruits in Korea, the Korean pear is bigger and rounder than its Western counterpart. lt is also has a very crunchy texture and more juice . Sliced pear is added to many Korean dishes."
음청류,배숙,Boiled Sweet Pear with Ginger ,"Peeled and sliced Korean pears cooked in water with black peppercorns, ginger and sugar, then garnished with ground pine nuts."
채소류,배추,Chinese Cabbage ,"As the main ingredient in kimchi, white cabbage is halved and its layers of leaves are filled with a spicy mixture. Similar cabbages can be found in Japan and China."
김치,배추겉절이,Spicy Chinese Cabbage Salad Kimchi,"A salad made of Chinese cabbage leaves that are separated and salted, then tossed in a dressing of red chili pepper powder, green onions, garlic, soy sauce, sesame oil and some sugar."
김치,배추김치,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed."
"국,탕",배추꼬릿국,Chinese Cabbage Root Soup,A soup made of Chinese cabbage roots in a soybean paste (doenjang) broth with either beef or dried anchovies.
"국,탕",배추속댓국,Chinese Cabbage Heart Soup,A soup made of the Chinese cabbage hearts in soybean paste (doenjang) broth with sliced beef and red chili pepper paste.
"국,탕",배춧국,Chinese Cabbage Soup (1),A soup made of soybean paste (doenjang) and Chinese cabbage leaves.
김치,백김치,White Chinese Cabbage Kimchi ,A version of cabbage kimchi with very small amounts of red chili pepper powder used only for seasoning the julienned radishes in the sauce.
밥,백반,Set Menu with Rice and Side Dishes (Restaurant Menu) ,"Baekban can mean simply steamed white rice or a full menu of rice, soup and side dishes. The names of baekban dishes vary according to the main dish or soup that accompanies the rice, for example, doenjang stew baekban or bulgogi baekban."
떡,백설기,Steamed White Rice Cake ,A white rice cake is cooked in a large steamer. This cake has a relatively coarse texture and is chewy and sweet. lt is traditionally shared with friends and neighbors at the feast celebrating the hundredth day after a baby's birth.
젓갈,밴댕이젓,Pickled Large-eyed Herring ,"Sauce made of large-eyed herring that have been heavily salted and pickled to make a thick, dark fish sauce that will keep for a long time. Can be served as a side dish."
마른찬,뱅어포,Dried Whitebait ,"Dried young whitebait are pressed into sheets, seasoned with red chili pepper paste, and grilled."
버섯류,버섯,Mushroom ,"The most commonly used mushrooms in Korean cuisine are the fragrant pine (songi) mushrooms, oyster (neutari) mushrooms, wood ear (mogi) mushrooms (very dark and thin, used mostly in Chinese and Korean cuisine), enoki (paengi) mushrooms, coral (ssan) mushrooms, shiitake (pyogo) and common button mushrooms."
"국,탕",버섯국,Mushroom Soup ,"A clear soup made of mushrooms, beef and dubu (soybean curd "
볶음,버섯볶음,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce."
전골,버섯전골,Mixed Mushroom Hot Pot ,"A hot pot of mushrooms including shiitake, coral, and oyster mushrooms, sliced and laid together with seasoned meat and minari (Korean parsley)."
청주,법주,Rice Wine (Gyeongju Style) ,"First created by a Gyeongju family, this high quality rice wine is made from bath white and glutinous rice. The alcohol content is approximately 15%."
밥,보리밥,Barley Rice ,Rice cooked with barley.
음청류,보리수단,Barley Balls in Omija Punch,A drink made of honey water and omija (fruit of the Chinese magnolia vine) with cooked barley balls coated in starch.
음청류,보리차,Barley Tea ,"Roasted barley cooked in water. Served bath hot and cold, this is one of the most common beverages found in Korean homes and restaurants and is often served instead of water."
"국,탕",보신탕,Dog Soup ,"Dog meat slowly simmered then seasoned is a soybean paste (doenjang) soup with garlic, ginger, green onions, and red chili pepper powder. This soup is said to be an aphrodisiac."
쌈,보쌈,Chinese Cabbage Wraps with Pork,Park and kimchi wrapped in steamed cabbage leaves. Also called jeyuk-bossam or kimchi-bossam.
김치,보쌈김치,Wrapped Kimchi ,"A kimchi made of quartered cabbages with kimchi seasonings spread between the layers of leaves and wrapped separately in a large cabbage leaf. The fist-sized bundles are put into jars and left to season together. When served, the individual bundles are put on dishes, unwrapped and eaten. This is a specialty of the Gaeseong region."
어류,복어,Puffer Fish (Swellfish / Globefish) ,"A stew made of putter fish, dubu (soybean curd tofu), soybean sprouts, minari (Korean parsley) and other vegetables, and spiced with red chili pepper paste and red chili pepper powder."
"국,탕",복어매운탕,Spicy Puffer Fish Stew ,
과일류,복숭아,Peach ,
회,복어회,Raw Puffer Fish ,Thin slices of raw putter fish prepared after removing the poisonous liver and roe. Raw putter fish is served with a dipping sauce of vinegared red chili pepper paste.
탕,복지리,Puffer Fish Soup ,"Soup of putter fish, white radish, Chinese cabbage, minari (Korean parsley), and other vegetables in a clear broth."
찜,복찜,Braised Puffer Fish ,"Putter fish braised in soy sauce, garnished, and salted with pickled shrimp sauce."
밥,볶음밥,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.
마른찬,부각,Deep-fried Vegetables Coated with Starch,"Seaweed or vegetables coated with glutinous rice starch, dried, and deep-fried."
찌개,부대찌개,G.1.Stew ,"A spicy stew of wieners, luncheon meat, macaroni and vegetables. This dish originated from ingredients that could be scavenged from the U.S. military camps in Korea during the Korean War."
채소류,부추,Chive ,There are two kinds of chives: Korean and Chinese. Chinese chives are wider and mostly used in Chinese dishes. The chives used in Korea are flatter than Western chives and have a stronger flavor.
김치,부추김치,Chive Kimchi,"A kimchi made of chives mixed with fish sauce, red chili pepper powder, crushed garlic and some glutinous rice starch."
"전,적",부추전,Chive Pancake ,"Pan-fried fiat cakes made of chives mixed in a flour batter, often with green chili peppers and shelled clams."
어류,북어,Dried Pollack ,Dried pollack is used as an ingredient in a variety of soups and side dishes. There are many grades but fish caught and dried in the winter is considered the best.
구이,북어구이,Grilled Dried Pollack ,"Dried pollack seasoned with soy sauce, or red chili pepper paste and grilled."
마른찬,북어무침,Seasoned Dried Pollack,Dried pollack shredded into thin strips and seasoned.
마른찬,북어보푸라기,Seasoned Dried Pollack Flakes ,"Dried pollack shredded into very thin flakes and seasoned with soy sauce, sugar, oil, and sometimes red chili pepper powder for color."
조림,북어조림,Braised Dried Pollack,"Dried pollack braised in soy sauce, green anions and garlic until the flavor is fully absorbed by the fish. Served as a side dish."
찜,북어찜,Simmered Dried Pollack,Seasoned dried pollack simmered over low heat in a small amount of water.
"국,탕",북엇국,Dried Pollack Soup,"A soup made of dried pollack shredded by hand in a clear broth with garlic, green onions and a beaten egg added just before serving."
구이,불고기,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes."
전골,불고기뚝배기,Bulgogi in Stone Pot,"Marinated beef cooked in a hot stone or earthenware pot with vegetables, clear noodles and broth. A variation of bulgogi, this dish has been recently developed by restaurants as a way of serving bulgogi for one."
전골,불낙전골,Bulgogi and Baby Octopus Hot Pot,A hot pot of marinated beef and spiced baby octopus cooked with vegetables in a broth.
기타,불백정식,Bulgogi Set Menu,"A set menu of grilled marinated beef, rice, and some side dishes."
찜,붕어찜,Braised Crusian Carp,Carp braised in a soybean paste (doenjang) broth.
김치,비늘김치,Stuffed White Radish Kimchi,A kimchi made of whole white radishes with diagonal slits that are stuffed with sliced radish and seasonings.
면,비빔국수,Mixed Noodles,"Cooked noodles mixed with vegetables, meat and a spicy sauce."
면,비빔냉면,Mixed Buckwheat Noodles,"Chilled buckwheat noodles mixed in a spicy sauce and topped with sliced cold meat, sliced Korean pear, cucumbers, and other vegetables."
밥,비빔밥,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap."
찌개,비지찌개,Soybean Puree Stew,A stew made of the soybean puree that is left after making dubu (soybean curd / tofu). Sliced pork and / or vegetables are added to the stew while cooking.
기타,빙수,Shaved Ice with Toppings,"A refreshing summer snack made of shaved ice topped with sweet red bean, fruit, and sweetened condensed milk. ln accordance with the main topping, different variations are called pat-bingsu (sweet red bean), gwail-bingsu (fruit), and so on."
육류,사골,Mixed Ox Bones,"Ox bones are used mainly to make soup stock. The chopped bones are soaked to eliminate any impurities and remaining blood, then are simmered in water for a long time to produce a milky broth."
과일류,사과,Apple,
"전,적",사슬적,Pan-fried Beef and Fish Brochette,Pan-fried skewers of marinated beef and fish.
찜,사태찜,Simmered Beef Shank,"Beef shanks simmered for a long period with white radish, carrots, shiitake mushrooms, spices and soy sauce in a meat broth."
한과,산자,Deep-fried Sweet Rice Cookies,"Rice cookies made of a glutinous rice flour dough cut into squares, deep-fried, and coated with puffed rice."
"전,적",산적,Beef and Vegetable Brochette (1),"Grilled skewers of beef and vegetables. The brochettes can also be dipped in flour and egg, then pan-fried."
밥,산채비빔밥,Bibimbap with Wild Vegetables,"A type of bibimbap made with seasoned wild leafy greens and root vegetables gathered in the mountains. The vegetables are seasoned, put on top of the rice, and then everything is mixed together with a spicy red pepper sauce before eating."
과일류,살구,Apricot,
한과,살구편,Jellied Apricots,"Apricots that have been cooked in water, strained, and simmered in sugar or honey. Starch is added to make a jelly."
구이,삼겹살구이,Grilled Pork Belly,"Strips of pork belly (the same cut as bacon but not smoked) mixed with a spicy red chili pepper paste sauce and grilled, or grilled plain and dipped in a mixture of sesame oil and salt before eating."
"국,탕",삼계탕,Chicken Ginseng Soup,"A soup made of a whole young chicken stuffed with ginseng, sticky rice, garlic, jujubes (Korean dates), and chestnuts, then cooked in a clear broth. With meat, vegetables, rice and hot soup all in one dish, this soup is popular for its wholesome flavor and health benefits."
어류,삼치,Japanese Spanish Mackerel,
마른찬,삼합장과,Three Braised Delicacies,"Seasoned beef, abalone, and mussels braised with carrots, onions and spices."
채소류,상추,Lettuce,
생채,상추겉절이,Lettuce Salad,A salad of lettuce leaves tossed in a seasoned soy sauce.
쌈,상추쌈,Rice Wrapped in Lettuce,"Spoonfuls of rice wrapped in lettuce leaves, often with other vegetables such as green onions and crown daisy and pieces of fish or meat, with a mixed sauce of soybean paste (doenjang) and red chili pepper paste."
갑각류,새우,Shrimp,
젓갈,새우젓,Pickled Shrimp,A salty fish sauce made of baby shrimp pickled in salt. This sauce is used to make kimchi and to season soups and other dishes with a salty flavor.
마른찬,새우튀김,Deep-fried Shrimp,"Shrimp coated in a flour and egg batter, then deep-fried."
구이,생갈비구이,Grilled Fresh Short Ribs,Beef short ribs grilled without being marinated first. Some restaurants use this name to refer to grilled ribs that were not frozen.
채소류,생강,Ginger,Ginger is not only used to flavor food but also to make tea and traditional liquor.
한과,생강정과,Candied Ginger,Thin slices of ginger simmered in sugar and sweet syrup until candied.
음청류,생강차,Ginger Tea,A tea made of fresh ginger slices cooked in boiling water. Powdered instant versions are now widely available.
과일류,생률,Peeled Fresh Chestnuts,Chestnuts peeled and served fresh.
"전,적",생선전,Pan-fried Fish Fillets,"Fish fillet coated in flour, dipped in egg, and pan-fried. Commonly used fish for this dish include halibut, cod, pollack and shrimp. Also called jeonyueo."
기타,생선초밥,Raw Fish on Rice,"Similar to Japanese sushi, thin slices of raw fish and a small amount of wasabi are placed on top of bite-sized lumps of white rice that has been cooked with a little vinegar and sugar."
회,생선회,Raw Fish,Thin slices of fresh fish served with mustard soy sauce or vinegared red chili pepper paste and eaten raw.
생채,생채,Fresh Vegetable Salad,Side dishes made of fresh salad vegetables tossed in a seasoned dressing.
김치,섞박지,Chinese Cabbage and Radish Kimchi,A kimchi made of pre-salted Chinese cabbages and white radishes cut into pieces then mixed in kimchi spices or fish sauce.
찌개,섞어찌개,Mixed Stew,"A stew made with a wide range of ingredients, usually with a spicy stew base. This dish originates from home-made stews using whatever ingredients were available at the time."
"국,탕",선지해장국,Hangover Soup with Ox Blood,"A soup made of bean sprouts, fiddleheads, other vegetables, and ox blood in an ox bone broth with soybean paste (doenjang) and red chili pepper paste. This soup is popular as a remedy for hangovers."
"국,탕",설렁탕,Ox Bone Soup,"A milky soup made by simmering the bones, head, and other parts of the cow for a long period."
구이,섭산적,Pan-fried Beef Patries (1),Thin square patties of minced beef mixed with seasonings and grilled.
패류,성게,Sea Urchin,
젓갈,성게젓,Pickled Sea Urchin Roe,Yellow sea urchin roe pickled in salt.
"국,탕",성게국,Sea Urchin Soup,A soup made with sea urchin and usually seaweed. A regional specialty of Jeju-do.
패류,소라,Conch,
회,소라무침,Spicy Conch,"Parboiled conch removed from the shell, sliced, and dressed with a spicy vinegar sauce."
회,소라회,Parboiled Conch,Slices of parboiled conch served as a hoe (raw fish) dish with vinegar and soy sauce or vinegared red chili pepper paste.
면,소면,Thin Noodles,Thin white noodles (similar to Japanese somyeon) cooked in water and added to a clear broth.
김치,소박이김치,Stuffed Kimchi,"A kimchi made of vegetables such as cucumber, white radish, eggplant, or chili pepper that are slit lengthwise and stuffed with spicy filling."
증류주,소주,Soju,"A clear, distilled liquor made of rice, sweet potatoes and other ingredients similar to vodka. Along with makgeolli, this is the most popular alcoholic beverage in Korea and is also the base liquor for many other drinks. The alcohol content is 20-25%."
버섯류,송이,Pine Mushroom,Pine mushrooms have a distinct flavor and scent and are harvested from pine forests in the fall.
밥,송이밥,Pine Mushroom Rice,Rice cooked with pine mushrooms.
볶음,송이볶음,Sauteed Pine Mushroom,"Thinly sliced pine mushrooms lightly seasoned and sauteed with beef, onions and the white stems of green onions."
"전,적",송이산적,Pine Mushroom and Beef Brochette,Grilled brochettes of seasoned pine mushrooms and beef.
전골,송이전골,Pine Mushroom Hot Pot,"A hot pot of pine mushrooms, seasoned beef, minari (Korean parsley), and other vegetables cooked in broth."
찜,송이찜,Simmered Pine Mushroom with Beef Stuffing,"Pine mushrooms with stems cut lengthwise and stuffed with a beef filling. The stuffed mushrooms are simmered with other ingredients such as white radish, chestnuts, and gingko nuts."
떡,송편,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival."
육류,쇠고기,Beef,"Korean cuisine incorporates almost all parts of the cow, including sirloin, loin, shank, brisket, rump, short ribs, blood, bones, knees, hoof, tail, head, small intestines, tripe, and tongue. Lean meats such as short ribs, sirloin and loin are grilled. Shank, brisket and ribs are braised and used for soups. Neck, shoulder and rump are used for bulgogi. Shoulder and shank are served seasoned and raw. Rump and round are used for brochettes and are dried to make jerky. Rump, shoulder and round are simmered in soy sauce."
"국,탕",쇠고기맑은장국,Clear Beef Soup (2),"A clear soup made of slices of beef stir-fried with some salt, pepper, garlic and other seasonings then cooked in water to make a broth. Often used as the base for noodle or dumpling soups."
"전,적",쇠고기산적,Beef Brochette,"Grilled brochettes of marinated slices of beef, green onions and mushrooms."
구이,쇠고기소금구이,Grilled Beef,Pieces of beef lightly seasoned with salt and grilled.
전골,쇠고기전골,Beef Hot Pot,A hot pot of beef with vegetables cooked together in a little broth. This dish is usually cooked and served at the table.
마른찬,쇠고기튀김,Deep-fried Beef,Slices of beef dipped in a flour batter and deep-fried.
찜,쇠꼬리찜,Braised Oxtail,Pieces of oxtail mixed with spices and seasonings and braised in broth over low heat for a long time.
떡,쇠머리떡,Rice Cake with Beans and Chestnuts,"Steamed rice cake made of glutinous rice flour, sugar, chestnuts, jujubes (Korean dates), and beans. Served in thin slices."
편육,쇠머리편육,Pressed Ox Head,"Ox head meat that has been boiled, taken off the bone, and pressed to remove excess liquid. Served in slices."
찜,수란,Poached Eggs,Eggs cooked lightly in boiling water.
과일류,수박,Watermelon,
