±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
»ıÃ¤,µµ¶óÁö»ıÃ¤,Bellflower Root Salad,"Fresh bellflower roots shredded into small pieces, then seasoned with red chili pepper powder, vinegar, salt, and sugar."
ÇÑ°ú,µµ¶óÁöÁ¤°ú,Candied Bellflower Roots,"Whole bellflower roots (doraji) peeled and simmered in a mixture of water, honey, and sugar until candied."
¾î·ù,µµ¹Ì,Sea Bream,
±¸ÀÌ,µµ¹Ì±¸ÀÌ,Grilled Sea Bream,Sea bream seasoned with salt then grilled slowly over a low flame and basted frequently with sesame oil.
Á¶¸²,µµ¹ÌÁ¶¸²,Braised Sea Bream,Sea bream seasoned in a spicy soy sauce and braised.
Á×,µµ¹ÌÁ×,Sea Bream and Rice Porridge,A rice porridge with sea bream. The fish is cooled first and then deboned. The rice and fish meat is put into the fish broth and simmered until thick.
Âò,µµ¹ÌÂò,Stuffed and Steamed Sea Bream,"Whole sea bream stuffed with clams, dubu (soybean curd / tofu), and vegetables and then steamed. The steamed fish is garnished with colorful vegetables and sliced chestnuts."
È¸,µµ¹ÌÈ¸,Raw Sea Bream,Fresh sea bream thinly sliced and served raw.
°ß°ú·ù,µµÅä¸®,Acorn,
¸é,µµÅä¸®³Ã¸é,Chilled Acorn Noodle Soup,Noodles made of acorn starch served in a chilled broth and garnished with seasoned vegetables.
¶±,µµÅä¸®¶±,Acorn Cake,"A steamed cake made of acorn starch, millet flour, and a coating of ground beans and red beans."
¹¬,µµÅä¸®¹¬,Acorn Starch jelly,"A firm jelly made of acorn starch, often served with a seasoned soy sauce."
»ıÃ¤,µ¹³ª¹°,Dollamul,"Sedum, a fleshy-leafed perennial that is found in the mountains. The tender young plants are often added to kimchi made in the spring or are made into a spring salad as a side dish."
¹ä,µ¹¼Ü¹ä,Stone Pot Rice,"Rice cooked in a stone pot with chestnuts, mushrooms, and jujubes (Korean dates)."
¹ä,µ¹¼Üºñºö¹ä,Stone Pot Bibimbap,"Rice cooked in a hot stone pot and topped with vegetables, seasoned and cooked ground beef, a fried egg and other ingredients. Before eating, red pepper paste or soy sauce and sesame oil are added to taste and everything is stirred with the rice."
Ã»ÁÖ,µ¿µ¿ÁÖ,Thick Rice Beer,"A beer made by fermenting rice with yeast. In Korean, the term dongdongju suggests something floating, referring to the rice grains that are often floating on top."
±èÄ¡,µ¿Ä¡¹Ì,Radish Kimchi in Water,"A kimchi made of whole white radishes, green onions, garlic, ginger and salt water. The radishes are rolled in salt and put in a big jar with the other ingredients and salt water. After being cured, this kimchi has plenty of flavorful water which is chilled and served throughout the winter."
¸é,µ¿Ä¡¹Ì³Ã¸é,Buckwheat Noodles in Radish Kimchi Water,"Buckwheat noodles served in chilled dongchimi water (a non-spicy kimchi made with white radish and lots of water) topped with sliced kimchi, a boiled egg and some meat."
¾î·ù,µ¿ÅÂ,Frozen Pollack,Frozen pollack does not have a strong smell and is therefore used in a lot of dishes.
"±¹,ÅÁ",µ¿ÅÂ¸Å¿îÅÁ,Spicy Frozen Pollack Stew,"A spicy stew of pollack with white radish, dubu (soybean curd / tofu), chili peppers, and other spices."
±èÄ¡,µ¿ÅÂ¼¯¹ÚÁö,Kimchi with Frozen Pollack ,"A special mixed kimchi made of Chinese cabbage, white radish, and dried pollack pieces. Often made with dried pollack soaked in water."
Âî°³,µ¿ÅÂÂî°³,Frozen Pollack Stew,"A spicy stew made of pollack and vegetables. The pollack is first cooked in a clear broth, then white radish, red chili pepper powder or red chili pepper paste, garlic and green onions are added and cooked until thick."
"Àü,Àû",µÅÁö°¥ºñ°­Á¤,Glazed Spareribs,"Pork ribs first coated in a flour batter and deep-fried, then glazed in a sweet and spicy soy sauce mixture."
±¸ÀÌ,µÅÁö°¥ºñ±¸ÀÌ,Grilled Spareribs,Pork spareribs marinated in a soy sauce or red chili pepper paste mixture and grilled.
Âò,µÅÁö°¥ºñÂò,Braised Spareribs,"Pork spareribs seasoned and braised in a little broth with chili peppers, chestnuts, carrots and jujubes (Korean dates)."
À°·ù,µÅÁö°í±â,Pork,"The main pork cuts used in Korean cuisine are the shoulder, sirloin, sides, ribs, hocks, and the rump. The different parts are prepared in different ways to take advantage of their distinct flavors and textures. Pig's head is boiled and pressed or made into a soup. Shoulder, sirloin, and rump cuts are grilled or braised. Rib cuts are braised or pressed. Hocks are pressed or used in soup."
±¸ÀÌ,µÅÁö°í±â±¸ÀÌ,Marinated Grilled Pork,Thin slices of pork marinated in soy sauce and red chili pepper paste and grilled. Also called dwaeji-bulgogi.
ººÀ½,µÅÁö°í±â±èÄ¡ººÀ½,Pork and Kimchi Stir-fry,Chopped pork stir-fried with thinly sliced kimchi.
ººÀ½,µÅÁö°í±âººÀ½,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.
ÆíÀ°,µÅÁö°í±âÆíÀ°,Pressed Pork,"Big pieces of pork cooked in water with ginger, green onions and soybean paste (doenjang) and pressed to give a smooth texture. Often served with pickled shrimp sauce."
ÆíÀ°,µÅÁö¸Ó¸®ÆíÀ°,Pressed Pork Head,"Pork head meat cooked in water with ginger, onions, garlic and black pepper, then pressed into a block and sliced. Usually served on special occasions. "
Âî°³,µÇºñÁöÂî°³,Pureed Soybean Stew,"A thick white stew of soybean puree, pork, kimchi or fresh cabbage leaves. Served with seasoned soy sauce on the side."
¾ç³ä,µÈÀå,Soybean Paste,A fermented soybean paste that is the base for many common Korean dishes.
"±¹,ÅÁ",µÈÀå±¹,Soybean Paste Soup,A soup made of soybean paste (doenjang) and vegetables.
Âî°³,µÈÀåÂî°³,Soybean Paste Stew,A stew made of soybean paste (doenjang) and various vegetables. Similar to soybean paste soup (doenjangguk) but much thicker.
ººÀ½,µÎ·çÄ¡±â,Spicy Sliced Beef Stew,"A stew made of beef, liver and tripe thinly sliced, seasoned, and cooked in broth with vegetables. A specialty of the southwestern regions of Korea."
Ã¤¼Ò·ù,µÎ¸¨,Dureup,Shoots or young leaves of the fatsia (Japanese angelica) tree.
³ª¹°,µÎ¸¨³ª¹°,Dureup Namul,"Blanched dureup shoots mixed with green onions, crushed garlic, soysauce, red chili pepper paste, vinegar and sesame oil."
"Àü,Àû",µÎ¸¨(»ê)Àû,Dureup and Beef Brochette,"Blanched dureup shoots and beef slices mixed in a seasoned soy sauce and put on skewers. The brochettes are coated in flour, dipped in egg, and pan-fried."
"Àü,Àû",µÎ¸¨Àü,Pan-fried Dureup,"Blanched dureup shoots coated in flour, dipped in egg, and pan-fried."
È¸,µÎ¸¨È¸,Parboiled Dureup,"Dureup shoots coated in potato starch and parboiled. Before serving, the cooked shoots are dipped in vinegared red chili pepper paste."
µÎºÎ,µÎºÎ,Dubu (Soybean Curd / Tofu),
"Àü,Àû",µÎºÎºÎÄ§ / µÎºÎÀü,Pan-fried Dubu,Dubu (soybean curd / tofu) sliced into flat pieces and pan-fried.
¼±,µÎºÎ¼±,Fancy Steamed Dubu,"Mashed dubu (soybean curd / tofu) mixed with seasoned meat and topped with shiitake and other mushrooms, julienned egg garnish, red chili threads and sliced green onions. This thickened dubu is steamed."
Àü°ñ,µÎºÎÀü°ñ,Stuffed Dubu Hot Pot,"Two slices of pan-fried dubu (soybean curd / tofu) stuffed with seasoned minced beef and tied with minari (Korean parsley) stems or green onions and cooked in a hot pot with vegetables, meatballs, marinated beef, and broth."
Âî°³,µÎºÎÁ£±¹Âî°³,Dubu Stew with Pickled Shrimp,A stew made of simmered dubu (soybean curd / tofu) and fresh oysters seasoned with pickled shrimp sauce. Also called dubu-saeujeot-jjigae (dubu and pickled shrimp stew).
Á¶¸²,µÎºÎÁ¶¸²,Braised Pan-fried Dubu,A dish of pan-fried slices of dubu (soybean curd / tofu) covered with soy sauce and braised until the sauce is absorbed by the dubu.
Âî°³,µÎºÎÂî°³,Dubu Stew,A stew with dubu (soybean curd / tofu) as the main ingredient.
¶±,µÎÅÓ¶±,Sweet Rice Cake with Fillings,Sticky rice cake filled with citron and pine nuts and then flattened into layers. Each layer is generously topped with a red bean mixture and steamed.
¾ç³ä,µé±â¸§,Wild Sesame Oil,Oil extracted from wild sesame seeds.
°î·ù,µé±ú,Wild Sesame,
ÇÑ°ú,µé±ú¿³°­Á¤,Wild Sesame Toffee,Malt candy made with roasted wild sesame seeds.
Á×,µé±úÁ×,Wild Sesame and Rice Porridge,A rice porridge with ground wild sesame seeds.
±¸ÀÌ,µî½É±¸ÀÌ,Grilled Sirloin,A medium-thick sirloin steak that is usually grilled at the table.
¹ä,µû·Î±¹¹ä,Beef Soup and Rice,"A popular dish in Korean restaurants consisting of beef and clotted blood soup served with rice. Ttaro-gukbap literally means soup and rice separately and originates in a rice soup once sold by street vendors. Following customer demand, however, the rice started to be served separately."
°úÀÏ·ù,µş±â,Strawberry,
°ß°ú·ù,¶¥Äá,Peanut,
¶±,¶±,Rice Cake,"Rice cakes made with flour from white rice, glutinous rice, beans, and peas. They are either steamed then boiled, or steamed, then kneaded or pan-fried. Tteok is served at important feasts and celebrations and is also enjoyed as a dessert or snack."
±¸ÀÌ,¶±°¥ºñ,Grilled Short Rib Meat Patties,"Square patties made of ground beef rib meat mixed with a seasoning of soy sauce, sugar, green onions, garlic, sesame seeds, and sesame oil, and then grilled."
"±¹,ÅÁ",¶±±¹,Sliced Rice Pasta Soup,A soup of sliced ovals of rice pasta in a clear beef broth topped with slices of beef and julienned egg garnish. Served as a New Year's dish.
±¸ÀÌ,¶±²¿Ä¡±¸ÀÌ,Brochette of Rice Pasta with Vegetables,A grilled brochette of rice pasta and vegetables.
 ¶±±¹,¶±¸¸µÔ±¹,Sliced Rice Pasta Soup with Dumplings,A soup of sliced ovals of rice pasta in a clear beef broth with dumplings.
ººÀ½,¶±ººÀÌ,Stir-fried Rice Pasta with Vegetables,"A stir-fry dish made with rice pasta, seasoned beef and assorted vegetables. Recently, a spicy version with red chili pepper paste has become very popular."
"Àü,Àû",¶±»êÀû,Beef and Rice Cake Brochette,Brochette of beef and rice cake seasoned and then grilled.
¼÷Ã¤,¸ÓÀ§³ª¹°,Butterbur Stem Namul ,Blanched stems of the butterbur (sweet colt's foot) sauteed and seasoned.
±¸ÀÌ,¸ÔÀå¾î±¸ÀÌ/°õÀå¾î±¸ÀÌ,Grilled Eel ,Fresh sea eel grilled over an open fire and seasoned with red chili pepper paste or simply salted to taste.
È¸,¸ÔÀå¾îÈ¸/°õÀå¾îÈ¸,Raw Eel ,"Skinned fresh sea eel thinly sliced and served raw with vinegared red chili pepper paste, sliced green chili peppers, and sliced garlic on the side."
ÆĞ·ù,¸Û°Ô,Sea Squirt ,Sea squirt has red leathery skin but the inside flesh is yellow and soft. The yellow flesh is a delicacy and is served raw with a spicy dipping sauce of vinegared red chili pepper paste.
"±¹,ÅÁ",¸Ş±â¸Å¿îÅÁ,Spicy Catfish Stew ,"A thick, spicy stew of freshwater catfish and vegetables."
°î·ù,¸Ş¹Ğ,Buckwheat ,Buckwheat seeds are ground into a fine flour which is used to make noodles or a firm buckwheat jelly.
¸é,¸Ş¹Ğ±¹¼ö,Buckwheat Noodles ,Cooked buckwheat noodles chilled and served with a dipping sauce made of dried fish and seaweed.
»ıÃ¤,¸Ş¹Ğ¹¬(¹«Ä§),Buckwheat Jelly ,"A firm jelly made of buckwheat that is sliced, topped with a seasoning sauce and shredded dried laver, and mixed with chopped kimchi."
µÎ·ù,¸ŞÁÖ,Fermented Soybean Bricks ,Fermented soybeans that are dried into bricks. This is the main ingredient for soy sauce and soybean paste (doenjang).
¾î·ù,¸êÄ¡,Dried Anchovies ,"Anchovies are sun-dried and prepared differently according to their size. The large anchovies are used to make broth; the mid-sized ones are braised in soy sauce, and the smallest ones are pan-fried. Fresh anchovies are also pickled in salt."
ººÀ½,¸êÄ¡ººÀ½,Sauteed Dried Anchovies,A side dish of dried anchovies pan-fried with soy sauce or red chili pepper paste and glazed with sugar or maltose syrup.
¾î·ù,¸í¶õ,Pollack Roe ,
Á£°¥,¸í¶õÁ£,Pickled Pollack Roe,Pollack roe pickled in salt and red chili pepper powder and served as a side dish with rice.
Âò,¸í¶õÂò,Steamed Spicy Pollack Roe ,"Pollack roe steamed with red chili pepper powder, green onions, garlic, sesame oil, and ground sesame seeds."
¾î·ù,¸íÅÂ,Pollack ,Pollack caught and frozen in the winter is called dongtae; completely dried pollack is called bugeo; pollack which is frozen and then dried is called hwangtae; and half-dried pollack is called kodari.
°úÀÏ·ù,¸ğ°ú,Chinese Quince ,This fruit has a beautiful fragrance but is very hard and cannot be eaten fresh. Chinese quince are usually diced and mixed in honey or sugar. This mixture can be added to hot water to make a sweet fruit tea and is also used in fruit punch drinks.
À½Ã»·ù,¸ğ°úÂ÷,Chinese Quince Tea ,A sweet tea made of thin slices of Chinese quince that have been preserved in honey.
"Àü,Àû",¸ğµÒÀü,Assorted Pan-fried Delicacies,"A dish of assorted pan-fried delicacies such as beef, fish fillet, mushrooms and summer squash slices that have been coated in flour and egg, and pan-fried."
È¸,¸ğµÒÈ¸,Assorted Raw Fish ,"Various kinds of fresh fish sliced and served raw with soy sauce or vinegared red chili pepper paste for dipping. Generally, halibut, croaker, tuna, octopus, and sea bream are served in this dish."
Ã¤¼Ò·ù,¹«,White Radish ,"An important ingredient in kimchi, white radish is also braised and used in soups."
¼÷Ã¤,¹«³ª¹°,White Radish Namul ,"Julienned white radish mixed with green onions, garlic, ginger juice and salt and left to sit."
»ıÃ¤,¹«¸»·©ÀÌ¹«Ä§,Seasoned Dried Radish ,A side dish of julienned white radish that has been dried in the open air (a process that preserves vegetables over the winter) then briefly soaked in water and seasoned.
Àå¾ÆÂî,¹«¸»·©ÀÌÀå¾ÆÂî,Dried Radish Pickles,Dried white radish slices pickled in soy sauce and mixed with other seasonings. Dried chili pepper leaves that have been soaked in water are often added as well.
»ıÃ¤,¹«»ıÃ¤,Julienned Radish Salad,"A salad of julienned white radish dressed with a mixture of red chili pepper powder, vinegar, salt, and sugar. Also called muchae-muchim."
¶±,¹«Áö°³¶±,Rainbow Rice Cake,"Rice cake with different colored layers made of rice flour, salt, sugar, and coloring."
±èÄ¡,¹«Ã»±èÄ¡,Radish Stem Kimchi ,A kimchi made of the green part of radish stems and leaves.
°î·ù/°ß°ú·ù,¹¬,Jelly ,"A firm jelly made of acorn, mung bean, or buckwheat starch boiled in water and cooled until it sets."
Áõ·ùÁÖ,¹®¹èÁÖ,Munbaeju ,"A traditional liquor made of malted wheat, rice, and millet which originates in the Pyeongyang region of North Korea. lt is famous for its fragrance which is said to resemble the munbae rose, hence its name. The alcohol content is around 40%."
¿¬Ã¼·ù,¹®¾î,Octopus ,
È¸,¹®¾î¼÷È¸,Parboiled Octopus,"Octopus is parboiled, then sliced and served with a dipping sauce of vinegared red chili pepper paste."
±èÄ¡,¹°±èÄ¡,Water Kimchi ,"A variation of kimchi in water. Both the water and the crunchy pickled vegetable in it are eaten. This kind of kimchi includes sliced radish and cabbage kimchi (nabak-kimchi), kimchi made with whole baby white radishes and their stalks (yeolmu-kimchi), deodeok root kimchi (deodeok-mul-kimchi ), and ginseng, radish and cabbage kimchi (ginseng-nabak-kimchi)."
¸é,¹°³Ã¸é,Buckwheat Noodles in Chilled Broth ,A soup with buckwheat noodles and various toppings served in a chilled broth. The version with a spicy sauce instead of the soup is called bibim¡©naengmyeon.
¸¸µÎ,¹°¸¸µÎ,Boiled Dumplings ,Dumplings cooked in water or broth and served with soup.
¾ç³ä,¹°¿³,Maltose Syrup ,"A syrup made of malt and rice or other cereals. This thick, sweet syrup is used in many dishes."
"±¹,ÅÁ",¹µ±¹/¹«¸¼ÀºÅÁ,Radish and Beef Soup ,A soup made of white radish and seasoned beef.
Ã¤¼Ò·ù,¹Ì³ª¸®,Minari ,A leafy green resembling parsley and a member of the dropwort family.
È¸,¹Ì³ª¸®°­È¸,Minari Bundles with Meat ,"Blanched minari (Korean parsley) wrapped around cooked meat, julienned egg garnish, and red chili pepper and served with a dipping sauce of vinegared red chili pepper paste."
¼÷Ã¤,¹Ì³ª¸®¹«Ä§,Blanched and Seasoned Minari ,Blanched minari (Korean parsley) mixed with a spicy sauce.
Âò,¹Ì´õ´öÂò,Cooked Mideodeok,Mideodeok (a small oval sea animal with wrinkly skin and soft orange flesh similar ta a sea squirt) mixed with bean sprouts and minari (Korean parsley) and braised in a small amount of broth with rice flour and red chili pepper powder.
»ıÃ¤,¹Ì»ï¹«Ä§,Seasoned Young Ginseng ,"Thin, young ginseng roots seasoned with a spicy soy sauce or vinegared red chili pepper paste."
À½Ã»·ù,¹Ì¼ı°¡·ç,Grain Powder Drink Mix ,"A powder made from steamed rice that has been dried, toasted, and ground. lt is mixed with cold water and sugar or honey to make a popular summer drink."
ÇØÁ¶·ù,¹Ì¿ª,Seaweed ,
"±¹,ÅÁ",¹Ì¿ª±¹,Seaweed Soup ,"A soup made of seaweed that is soaked, drained, then cooked in a broth of beef or dried anchovies. This soup is traditionally given to mothers after childbirth."
"±¹,ÅÁ",¹Ì¿ª³Ã±¹,Chilled Seaweed Soup ,A seaweed soup served chilled. The seaweed is cooked first then mixed with soy sauce. Julienned cucumbers are added to the chilled soup.
»ıÃ¤,¹Ì¿ª¹«Ä§,Spicy Seaweed ,Blanched fresh seaweed seasoned with soy sauce and vinegar or vinegared red chili pepper paste.
½Ó,¹Ì¿ª½Ó,Seaweed Wraps ,Blanched fresh seaweed cut into strips which are used to wrap spoonfuls of rice and other foods.
È¸,(»ı)¹Ì¿ªÃÊÈ¸,Seaweed and Cucumber Salad,Blanched fresh seaweed and sliced cucumbers mixed with a sweet vinegar dressing.
Á×,¹ÌÀ½,Rice Gruel ,"A thin, clear gruel made of one part rice and ten parts water. This is mostly given to patients because it is easy to drink."
¾î·ù,¹Î¾î,Croaker ,
±¸ÀÌ,¹Î¾î±¸ÀÌ,Grilled Croaker ,Salted and grilled croaker.
"±¹,ÅÁ",¹Î¾î¸Å¿îÅÁ,Spicy Croaker Stew ,"A spicy red stew with croaker, beef, summer squash, minari (Korean parsley), other vegetables, and garlic."
¸¶¸¥Âù,¹Î¾îÆ÷,Dried Croaker Fillets ,"Fully dried croaker fillets seasoned with soy sauce, salt and sugar, then thinly sliced before eating."
½Ó,¹Ğ½Ó,Mini Crepes ,A dish consisting of small crepes and thinly sliced vegetables and meat. The crepes are made of a flour and egg batter that is pan-fried over low heat. The crepes are then rolled with the sliced vegetables and meat inside.
¸¶¸¥Âù,¹Ø¹İÂù,Assorted Side Dishes ,"Side dishes such as cucumber pickles, beans or beef braised in soy sauce are made in large batches and served over a period of time. Most Korean households have an assortment of these dishes at any given time to provide a tasty accompaniment to rice."
¼÷Ã¤,¹Ú¿À°¡¸®³ª¹°,Gourd Peel Namul ,"A side dish made of dried gourd skins that are soaked, seasoned, and cooked over low heat until the flavor is fully absorbed."
±âÅ¸,¹İÂù,Side Dishes ,"A range of dishes eaten with rice to add flavor. The basic Korean meal consists of a bowl of rice, a soup or stew and some side dishes. Also called chan."
°ß°ú·ù,¹ã,Chestnut(s) ,"The chestnut is used in diverse ways in Korean cuisine. Chestnuts are peeled and eaten raw as a companion for alcoholic drinks and put into cold dishes and even kimchi. They are also added to rice and braised beef rib dishes, are an important ingredient in many types of rice cake, and are served roasted, steamed, marinated in honey or made into cookies as a snack or dessert."
¶±,¹ã´ÜÀÚ,Sweet Rice Balls Coated with Chestnuts ,Small rice cake balls made of glutinous rice. The balls are dipped in honey and rolled in ground chestnut.
ÇÑ°ú,¹ãÃÊ,Candied Chestnuts ,Peeled chestnuts simmered in water with sugar or honey until candied.
¹ä,¹ä,Cooked Rice ,"Rice that has been washed, brought to a boil and simmered until cooked. ln Korean, the expression 'eating rice' means to have a meal. Rice is unquestionably the essence of a Korean meal. There are several varieties of cooked rice: white (non-glutinous) rice, sweet (glutinous) rice, and rice mixed with other grains."
°úÀÏ·ù,¹è,Korean Pear ,"One of the most popular fruits in Korea, the Korean pear is bigger and rounder than its Western counterpart. lt is also has a very crunchy texture and more juice . Sliced pear is added to many Korean dishes."
À½Ã»·ù,¹è¼÷,Boiled Sweet Pear with Ginger ,"Peeled and sliced Korean pears cooked in water with black peppercorns, ginger and sugar, then garnished with ground pine nuts."
Ã¤¼Ò·ù,¹èÃß,Chinese Cabbage ,"As the main ingredient in kimchi, white cabbage is halved and its layers of leaves are filled with a spicy mixture. Similar cabbages can be found in Japan and China."
±èÄ¡,¹èÃß°ÑÀıÀÌ,Spicy Chinese Cabbage Salad Kimchi,"A salad made of Chinese cabbage leaves that are separated and salted, then tossed in a dressing of red chili pepper powder, green onions, garlic, soy sauce, sesame oil and some sugar."
±èÄ¡,¹èÃß±èÄ¡,Chinese Cabbage Kimchi ,"The most basic type of kimchi, made of whole Chinese cabbages. The cabbages are cut in half and then salted or soaked in salt water. Alter the leaves have lost some of their water, a mixture of julienned white radish, garlic, red chili pepper powder, green onions, fish sauce and ginger is spread over the layers of leaves. The cabbages are put in jars and left to season until the flavor is fully absorbed."
"±¹,ÅÁ",¹èÃß²¿¸´±¹,Chinese Cabbage Root Soup,A soup made of Chinese cabbage roots in a soybean paste (doenjang) broth with either beef or dried anchovies.
"±¹,ÅÁ",¹èÃß¼Ó´ñ±¹,Chinese Cabbage Heart Soup,A soup made of the Chinese cabbage hearts in soybean paste (doenjang) broth with sliced beef and red chili pepper paste.
"±¹,ÅÁ",¹èÃå±¹,Chinese Cabbage Soup (1),A soup made of soybean paste (doenjang) and Chinese cabbage leaves.
±èÄ¡,¹é±èÄ¡,White Chinese Cabbage Kimchi ,A version of cabbage kimchi with very small amounts of red chili pepper powder used only for seasoning the julienned radishes in the sauce.
¹ä,¹é¹İ,Set Menu with Rice and Side Dishes (Restaurant Menu) ,"Baekban can mean simply steamed white rice or a full menu of rice, soup and side dishes. The names of baekban dishes vary according to the main dish or soup that accompanies the rice, for example, doenjang stew baekban or bulgogi baekban."
¶±,¹é¼³±â,Steamed White Rice Cake ,A white rice cake is cooked in a large steamer. This cake has a relatively coarse texture and is chewy and sweet. lt is traditionally shared with friends and neighbors at the feast celebrating the hundredth day after a baby's birth.
Á£°¥,¹ê´óÀÌÁ£,Pickled Large-eyed Herring ,"Sauce made of large-eyed herring that have been heavily salted and pickled to make a thick, dark fish sauce that will keep for a long time. Can be served as a side dish."
¸¶¸¥Âù,¹ğ¾îÆ÷,Dried Whitebait ,"Dried young whitebait are pressed into sheets, seasoned with red chili pepper paste, and grilled."
¹ö¼¸·ù,¹ö¼¸,Mushroom ,"The most commonly used mushrooms in Korean cuisine are the fragrant pine (songi) mushrooms, oyster (neutari) mushrooms, wood ear (mogi) mushrooms (very dark and thin, used mostly in Chinese and Korean cuisine), enoki (paengi) mushrooms, coral (ssan) mushrooms, shiitake (pyogo) and common button mushrooms."
"±¹,ÅÁ",¹ö¼¸±¹,Mushroom Soup ,"A clear soup made of mushrooms, beef and dubu (soybean curd "
ººÀ½,¹ö¼¸ººÀ½,Stir-fried Mushroom ,"A stir-fry of mushrooms, onions and beef with seasoned soy sauce."
Àü°ñ,¹ö¼¸Àü°ñ,Mixed Mushroom Hot Pot ,"A hot pot of mushrooms including shiitake, coral, and oyster mushrooms, sliced and laid together with seasoned meat and minari (Korean parsley)."
Ã»ÁÖ,(°æÁÖ)¹ıÁÖ,Rice Wine (Gyeongju Style) ,"First created by a Gyeongju family, this high quality rice wine is made from bath white and glutinous rice. The alcohol content is approximately 15%."
¹ä,º¸¸®¹ä,Barley Rice ,Rice cooked with barley.
À½Ã»·ù,º¸¸®¼ö´Ü,Barley Balls in Omija Punch,A drink made of honey water and omija (fruit of the Chinese magnolia vine) with cooked barley balls coated in starch.
À½Ã»·ù,º¸¸®Â÷,Barley Tea ,"Roasted barley cooked in water. Served bath hot and cold, this is one of the most common beverages found in Korean homes and restaurants and is often served instead of water."
"±¹,ÅÁ",º¸½ÅÅÁ,Dog Soup ,"Dog meat slowly simmered then seasoned is a soybean paste (doenjang) soup with garlic, ginger, green onions, and red chili pepper powder. This soup is said to be an aphrodisiac."
½Ó,º¸½Ó,Chinese Cabbage Wraps with Pork,Park and kimchi wrapped in steamed cabbage leaves. Also called jeyuk-bossam or kimchi-bossam.
±èÄ¡,º¸½Ó±èÄ¡,Wrapped Kimchi ,"A kimchi made of quartered cabbages with kimchi seasonings spread between the layers of leaves and wrapped separately in a large cabbage leaf. The fist-sized bundles are put into jars and left to season together. When served, the individual bundles are put on dishes, unwrapped and eaten. This is a specialty of the Gaeseong region."
¾î·ù,º¹(¾î),Puffer Fish (Swellfish / Globefish) ,"A stew made of putter fish, dubu (soybean curd tofu), soybean sprouts, minari (Korean parsley) and other vegetables, and spiced with red chili pepper paste and red chili pepper powder."
"±¹,ÅÁ",º¹(¾î)¸Å¿îÅÁ,Spicy Puffer Fish Stew ,
°úÀÏ·ù,º¹¼ş¾Æ,Peach ,
È¸,º¹¾îÈ¸,Raw Puffer Fish ,Thin slices of raw putter fish prepared after removing the poisonous liver and roe. Raw putter fish is served with a dipping sauce of vinegared red chili pepper paste.
ÅÁ,º¹(¾î)Áö¸®,Puffer Fish Soup ,"Soup of putter fish, white radish, Chinese cabbage, minari (Korean parsley), and other vegetables in a clear broth."
Âò,º¹(¾î)Âò,Braised Puffer Fish ,"Putter fish braised in soy sauce, garnished, and salted with pickled shrimp sauce."
¹ä,ººÀ½¹ä,Fried Rice ,Cooked rice pan-fried with chopped meat and vegetables.
¸¶¸¥Âù,ºÎ°¢,Deep-fried Vegetables Coated with Starch,"Seaweed or vegetables coated with glutinous rice starch, dried, and deep-fried."
Âî°³,ºÎ´ëÂî°³,G.1.Stew ,"A spicy stew of wieners, luncheon meat, macaroni and vegetables. This dish originated from ingredients that could be scavenged from the U.S. military camps in Korea during the Korean War."
Ã¤¼Ò·ù,ºÎÃß,Chive ,There are two kinds of chives: Korean and Chinese. Chinese chives are wider and mostly used in Chinese dishes. The chives used in Korea are flatter than Western chives and have a stronger flavor.
±èÄ¡,ºÎÃß±èÄ¡,Chive Kimchi,"A kimchi made of chives mixed with fish sauce, red chili pepper powder, crushed garlic and some glutinous rice starch."
"Àü,Àû",ºÎÃßÀü,Chive Pancake ,"Pan-fried fiat cakes made of chives mixed in a flour batter, often with green chili peppers and shelled clams."
¾î·ù,ºÏ¾î,Dried Pollack ,Dried pollack is used as an ingredient in a variety of soups and side dishes. There are many grades but fish caught and dried in the winter is considered the best.
±¸ÀÌ,ºÏ¾î±¸ÀÌ,Grilled Dried Pollack ,"Dried pollack seasoned with soy sauce, or red chili pepper paste and grilled."
¸¶¸¥Âù,ºÏ¾î¹«Ä§,Seasoned Dried Pollack,Dried pollack shredded into thin strips and seasoned.
¸¶¸¥Âù,ºÏ¾îº¸Çª¶ó±â,Seasoned Dried Pollack Flakes ,"Dried pollack shredded into very thin flakes and seasoned with soy sauce, sugar, oil, and sometimes red chili pepper powder for color."
Á¶¸²,ºÏ¾îÁ¶¸²,Braised Dried Pollack,"Dried pollack braised in soy sauce, green anions and garlic until the flavor is fully absorbed by the fish. Served as a side dish."
Âò,ºÏ¾îÂò,Simmered Dried Pollack,Seasoned dried pollack simmered over low heat in a small amount of water.
"±¹,ÅÁ",ºÏ¾ù±¹,Dried Pollack Soup,"A soup made of dried pollack shredded by hand in a clear broth with garlic, green onions and a beaten egg added just before serving."
±¸ÀÌ,ºÒ°í±â,Bulgogi (Korean Barbecue),"Thin slices of beef marinated in a mixture of soy sauce, sugar, green onions, garlic, black pepper, sesame seeds, and sesame oil and grilled at the table. Bulgogi is one of Korea's most popular beef dishes."
Àü°ñ,ºÒ°í±â¶Ò¹è±â,Bulgogi in Stone Pot,"Marinated beef cooked in a hot stone or earthenware pot with vegetables, clear noodles and broth. A variation of bulgogi, this dish has been recently developed by restaurants as a way of serving bulgogi for one."
